link	title	description	image_link	additional_image_link	product_type	price	id	condition	expiration_date	shipping_weight	brand	mpn	gtin	availability	google_product_category	gender	age_group	color	size	material	pattern	item_group_id	adwords_grouping	adwords_labels	excluded_destination
http://www.goatsmilksoap.com.au/store/p/26-Goats-Milk-Soap-10-Classic-Cakes.html?feed=Froogle	Goats Milk Soap: 10 Classic Cakes	10 Classic Cakes - Over 300,000 sold! The Famous Classic Bar  Moisturising soap for face and body  Natural source of Vitamin E  Ideal for Babies first Soap  Countless Testimonials  Made with fresh Australian Goats Milk  100gm Cakes  Affordable Low Prices with Quantity Discounts!Ingredients: Under 'Specifications'Packaging may differ from pictured, depending on&nbsp;availability.	http://www.goatsmilksoap.com.au/resize/images/P1010403.JPG?lr=t&bw=250&bh=200		Bar Soaps > Classic Cakes	29.0000	26	new	2014-09-12	1.1000 kg				in stock											
http://www.goatsmilksoap.com.au/goatsmilksoapsamplepack?feed=Froogle	Goats Milk Soap: 4 Classic Cakes	4 Classic Cakes - Over 300,000 sold! The Famous Classic Bar  Moisturising soap for face and body  Natural source of Vitamin E  Ideal for Babies first Soap  Countless Testimonials  Made with fresh Australian Goats Milk  100gm Cakes  Affordable Low Prices  Ingredients: Under 'Specifications'Packaging may differ from pictured, depending on&nbsp;availability.	http://www.goatsmilksoap.com.au/resize/images/P1010420.JPG?lr=t&bw=250&bh=200		Bar Soaps > Classic Cakes	11.9900	27	new	2014-09-12	0.4500 kg				in stock											
http://www.goatsmilksoap.com.au/store/p/29-Goats-Milk-Soap-50-Classic-Cakes.html?feed=Froogle	Goats Milk Soap: 50 Classic Cakes	50 Classic Cakes - Bulk Pack! The Famous Classic Bar  Moisturising soap for face and body  Natural source of Vitamin E  Ideal for Babies first Soap  Countless Testimonials  Made with fresh Australian Goats Milk  100gm Cakes  Affordable Low PricesIngredients: Under 'Specifications'	http://www.goatsmilksoap.com.au/resize/images/IM000019.JPG?lr=t&bw=250&bh=200		Bar Soaps > Classic Cakes	110.0000	29	new	2014-09-12	5.5000 kg				in stock											
http://www.goatsmilksoap.com.au/store/p/30-Goats-Milk-Soap-100-Classic-Cakes.html?feed=Froogle	Goats Milk Soap: 100 Classic Cakes	100 Classic Cakes - Bulk Pack! The Famous Classic Bar Moisturising soap for face and body  Natural source of Vitamin E  Ideal for Babies first Soap  Countless Testimonials  Made with fresh Australian Goats Milk  100gm Cakes  Affordable Low PricesIngredients: Under 'Specifications'	http://www.goatsmilksoap.com.au/resize/images/IM000019.JPG?lr=t&bw=250&bh=200		Bar Soaps > Classic Cakes	189.9900	30	new	2014-09-12	10.5000 kg				in stock											
http://www.goatsmilksoap.com.au/store/p/34-Goats-Milk-Soap-25-Classic-Cakes.html?feed=Froogle	Goats Milk Soap: 25 Classic Cakes	25 Classic Cakes - Over 300,000 sold! The Famous Classic Bar  Moisturising soap for face and body  Natural source of Vitamin E  Ideal for Babies first Soap  Countless Testimonials  Made with fresh Australian Goats Milk  100gm Cakes  Affordable Low Prices with Quantity Discounts!Ingredients: Under 'Specifications'Packaging may differ from pictured, depending on&nbsp;availability.	http://www.goatsmilksoap.com.au/resize/images/P1010403.JPG?lr=t&bw=250&bh=200		Bar Soaps > Classic Cakes	59.0000	34	new	2014-09-12	1.1000 kg				in stock											
http://www.goatsmilksoap.com.au/store/p/36-Goats-Milk-Hand-And-Body-Wash-2-Bottles.html?feed=Froogle	Goats Milk Hand And Body Wash: 2 Bottles	2 Bottles of Goats Milk Hand & Body Wash 300 ML Goats Milk Hand And Body Wash: 300MLWashing HandsShampoo AlternativeShavingBath SoapShower SoapMoisturising soap for face and body  Made with fresh Australian Goats Milk  Ingredients: Under 'Specifications'	http://www.goatsmilksoap.com.au/resize/images/Goats Milk Soap Hand and Body Wash.jpg?lr=t&bw=250&bh=200		Liquid Soaps > Hand & Body Wash	15.5000	36	new	2014-09-12	0.7500 kg				in stock											
http://www.goatsmilksoap.com.au/store/p/37-Goats-Milk-Hand-And-Body-Wash-9-Bottles.html?feed=Froogle	Goats Milk Hand And Body Wash: 9 Bottles	9 Bottles of Goats Milk Hand & Body Wash 300 ML Goats Milk Hand And Body Wash: 300MLWashing HandsShampoo AlternativeShavingBath SoapShower SoapMoisturising soap for face and body   Made with fresh Australian Goats Milk  Ingredients: Under 'Specifications'	http://www.goatsmilksoap.com.au/resize/images/Goats Milk Soap Hand and Body Wash.jpg?lr=t&bw=250&bh=200		Liquid Soaps > Hand & Body Wash	65.0000	37	new	2014-09-12	1.1000 kg				in stock											
http://www.goatsmilksoap.com.au/store/p/38-Goats-Milk-Hand-And-Body-Wash-4-Bottles.html?feed=Froogle	Goats Milk Hand And Body Wash: 4 Bottles	4 Bottles of Goats Milk Hand & Body Wash 300 ML Goats Milk Hand And Body Wash: 300MLWashing HandsShampoo AlternativeShavingBath SoapShower SoapMoisturising soap for face and body  Made with fresh Australian Goats Milk  Ingredients: Under 'Specifications'	http://www.goatsmilksoap.com.au/resize/images/Goats Milk Soap Hand and Body Wash.jpg?lr=t&bw=250&bh=200		Liquid Soaps > Hand & Body Wash	29.0000	38	new	2014-09-12	1.4000 kg				in stock											
http://www.goatsmilksoap.com.au/store/p/39-Goats-Milk-Shampoo-1-Bottle.html?feed=Froogle	Goats Milk Shampoo: 1 Bottle	1 Bottle of Goats Milk Shampoo 250ML Goats Milk&nbsp;Shampoo:&nbsp;250MLMade with fresh Australian Goats MilkIngredients: Under 'Specifications'	http://www.goatsmilksoap.com.au/resize/images/Goats Milk Shampoo.jpg?lr=t&bw=250&bh=200		Liquid Soaps > Shampoo & Conditioner	16.0000	39	new	2014-09-12	0.3000 kg				in stock											
http://www.goatsmilksoap.com.au/store/p/43-Goats-Milk-Hand-And-Body-Lotion-1-Bottle.html?feed=Froogle	Goats Milk Hand And Body Lotion: 1 Bottle	1 Bottle of Goats Milk Hand & Body Lotion 250ML Goats Milk Hand And Body Lotion:&nbsp;250MLMoisturising for face and body Made with fresh Australian Goats Milk  Ingredients: Under 'Specifications'	http://www.goatsmilksoap.com.au/resize/images/Goats Milk Hand and Body Lotion.jpg?lr=t&bw=250&bh=200		Liquid Soaps > Hand & Body Lotion	16.0000	43	new	2014-09-12	0.3000 kg				in stock											
