link	title	description	image_link	additional_image_link	product_type	price	id	condition	expiration_date	shipping_weight	brand	mpn	gtin	availability	google_product_category	gender	age_group	color	size	material	pattern	item_group_id	adwords_grouping	adwords_labels	excluded_destination
http://www.merz67.com/store/p/27-Bicycle-Tie-Dye-Deck-Playng-Cards.aspx?feed=Froogle	Bicycle Tie Dye Deck Playng Cards	One new sealed rare deck of cards. Cards feature a Tie Dye Designed Back that can be used in any standard 52 card game and even includes 2 Gaff cards to do a magic card trick called Million Dollar Monte. The jokers are a Dove and a Patriotic colored Piece Sign, there is also a a piece sign on the center of the Ace of Spades and check out the pictures, look real close at the suicide King of Hearts which normally has him holding a knife thru his head, but this deck has something different instead of the knife, Check it out, very cool. Cards measure standard poker size 2.5 x 3.5 regular index and are made with High Quality Bicycle Playing Card Stock.	http://www.merz67.com/resize/images/bicycle tie dye peace ace.jpg?lr=t&bw=250		Bicycle Playing Cards > Bicycle Playing Cards	8.9500	27	new	2014-09-12	0.2500 lb	Bicycle US Playing Card	718122638284	718122638284	in stock	Toys & Games > Games > Card Games > Traditional Playing Cards 										
http://www.merz67.com/store/p/30-Bicycle-808-Poker-Regular-Index-Red-Deck-Playing-Cards.aspx?feed=Froogle	Bicycle 808 Poker Regular Index Red Deck Playing Cards	Product Features:    New sealed deck of cards  Poker Size 3.5 x 2.5 Regular Index  Bicycle Red 808 Rider Back   Get your own deck of Bicycle playing cards, the brand that sets the standard.   Guaranteed for quality, this is the preferred playing card at tables all over the country    &nbsp;  &nbsp;  &nbsp;	http://www.merz67.com/resize/Shared/images/Bicycle Playing Cards/bicycle-red-large.png?lr=t&bw=250		Bicycle Playing Cards > Bicycle Playing Cards	2.5500	30	new	2014-09-12	0.2500 lb	Bicycle US Playing Card	73854008089	73854008089	in stock	Toys & Games > Games > Card Games > Traditional Playing Cards 										
http://www.merz67.com/store/p/31-Bicycle-808-Poker-Regular-Index-Blue-Deck-Playing-Cards.aspx?feed=Froogle	Bicycle 808 Poker Regular Index Blue Deck Playing Cards	  Product Features:    New sealed deck of cards Poker Size 3.5 x 2.5   Regular Index Bicycle Blue 808 Rider Back   Get your own deck of Bicycle playing cards, the brand that sets the standard.   Guaranteed for quality, this is the preferred playing card at tables all over the country     &nbsp;      	http://www.merz67.com/resize/Shared/images/Bicycle Playing Cards/bicyclestandard_m.jpg?lr=t&bw=250		Bicycle Playing Cards > Bicycle Playing Cards	2.5500	31	new	2014-09-12	0.2500 lb	Bicycle US Playing Card	73854008089	73854008089	in stock	Toys & Games > Games > Card Games > Traditional Playing Cards 										
http://www.merz67.com/store/p/41-Bicycle-808-Rider-Back-Light-Green-Playing-Cards.aspx?feed=Froogle	Bicycle 808 Rider Back Light Green Playing Cards	  Product Features:    New sealed deck of cards Poker Size 3.5 x 2.5   Regular Index Bicycle&nbsp;Light Green&nbsp;808 Rider Back   High Quality Bicycle 808 Card Stock  Guaranteed for quality, this is the preferred playing card at tables all over the country   Suitable for All Card Games.   This Playing Card Deck Features a Light&nbsp;Green Back and a Light Green-Negative Image on the Court Cards.    &nbsp;      	http://www.merz67.com/resize/images/bicycle light green.jpg?lr=t&bw=250		Bicycle Playing Cards > Bicycle Playing Cards	7.4500	41	new	2014-09-12	0.2500 lb	Bicycle US Playing Card	60549468082	60549468082	out of stock	Toys & Games > Games > Card Games > Traditional Playing Cards 										
http://www.merz67.com/store/p/46-Bicycle-Prestige-Dura-Flex-Red-Playing-Cards.aspx?feed=Froogle	Bicycle Prestige Dura-Flex Red Playing Cards	Red Bicycle Prestige Dura-Flex Playing Cards. Rare deck, 100% plastic, paper-like feel. Standard poker size 2.5 x 3.5.  One new sealed rare deck of cards that was produced as a trial run using a new material by Bicycle, these are 100% plastic. Many professionals prefer the flexibility and durability of plastic cards. Bicycle Prestige offers unmatched durability and is the only 100% plastic card to offer a paper-like feel. Perfect for a neighborhood game or a professional tournament. Cards measure standard poker size 2.5 x 3.5 and are made with Dura-Flex, a crease resistant material like a cross between The 100% plastic and the Standard 808 cards, Cards ahve a great feel to them and will last longer but a a fraction of the price of Kem cards.	http://www.merz67.com/resize/images/congress/007.JPG?lr=t&bw=250		Bicycle Playing Cards > Bicycle Playing Cards	6.8300	46	new	2014-09-12	0.5000 lb	Bicycle US Playing Card	844296043033	844296043033	in stock	Toys & Games > Games > Card Games > Traditional Playing Cards 										
http://www.merz67.com/store/p/47-Bicycle-Prestige-Dura-Flex-Blue-Playing-Cards.aspx?feed=Froogle	Bicycle Prestige Dura-Flex Blue Playing Cards	Blue Bicycle Prestige Dura-Flex Playing Cards. Rare deck, 100% plastic, paper-like feel. Standard poker size 2.5 x 3.5.  One new sealed rare deck of cards that was produced as a trial run using a new material by Bicycle, these are 100% plastic. Many professionals prefer the flexibility and durability of plastic cards. Bicycle Prestige offers unmatched durability and is the only 100% plastic card to offer a paper-like feel. Perfect for a neighborhood game or a professional tournament. Cards measure standard poker size 2.5 x 3.5 and are made with Dura-Flex, a crease resistant material like a cross between The 100% plastic and the Standard 808 cards, Cards have a great feel to them and will last longer but a a fraction of the price of Kem cards.	http://www.merz67.com/resize/images/congress/008.JPG?lr=t&bw=250		Bicycle Playing Cards > Bicycle Playing Cards	6.8300	47	new	2014-09-12	0.5000 lb	Bicycle US Playing Card	844296043040	844296043040	in stock	Toys & Games > Games > Card Games > Traditional Playing Cards 										
http://www.merz67.com/store/p/48-Bicycle-Tetra-Fanning-Deck-4-Color-Magic-Playing-Cards.aspx?feed=Froogle	Bicycle Tetra Fanning Deck 4 Color Magic Playing Cards	  The Bicycle Tetra Deck is a 4 way fanning deck.&nbsp;The faces are standard with a red, blue, green, and yellow back.     Bold, bright, and original!   New sealed deck of cards Poker Size 3.5 x 2.5   Designed by Magic Makers, Inc. &amp; printed by US Playing Co   Fan the cards out different ways for multiple unique visual displays. Extra 4 gaff cards included!   Premium&nbsp;Air-cushion finish   Poker size 3.5 x 2.5&nbsp;   Bicycle High Quality Card Stock    &nbsp;    &nbsp;      &nbsp;	http://www.merz67.com/resize/images/tetra.jpg?lr=t&bw=250		Bicycle Playing Cards > Bicycle Playing Cards	5.3500	48	new	2014-09-12	0.2500 lb	Bicycle US Playing Card	714447663994	714447663994	out of stock	Toys & Games > Games > Card Games > Traditional Playing Cards 										
http://www.merz67.com/store/p/52-KEM-Arrow-Red-Blue-Poker-Size-Regular-index-Playing-Cards-2-Decks-100-Plastic.aspx?feed=Froogle	KEM Arrow Red Blue Poker Size Regular index Playing Cards 2 Decks 100%	2 new sealed deck of 100% plastic Poker Size playing cards regular index with case.  Etremely Durable  Guaranteed  Replacement Cards Available  Washable  Long Lasting  Easy To Shuffle	http://www.merz67.com/resize/images/arpo2.jpg?lr=t&bw=250		Bicycle Playing Cards > KEM Cards	20.6500	52	new	2014-09-12	0.7500 lb	Bicycle US Playing Card	73854200032	73854200032	in stock	Toys & Games > Games > Card Games > Traditional Playing Cards 										
http://www.merz67.com/store/p/54-KEM-Arrow-Red-Blue-Bridge-Size-Jumbo-Index-Playing-Cards-2-Decks-100-Plastic.aspx?feed=Froogle	KEM Arrow Red Blue  Bridge Size Jumbo Index Playing Cards 2 Decks 100%	2 new sealed deck of 100% plastic jumbo index bridge Size playing cards with case. US Playing card made these cards using KEM 100% Acetate- Cellulose. Etremely Durable  Guaranteed  Replacement Cards Available  Washable  Long Lasting  Easy To Shuffle  	http://www.merz67.com/resize/images/j brig.jpg?lr=t&bw=250		Bicycle Playing Cards > KEM Cards	20.6700	54	new	2014-09-12	0.6900 lb	Bicycle US Playing Card	73854300039	73854300039	in stock	Toys & Games > Games > Card Games > Traditional Playing Cards 										
http://www.merz67.com/store/p/55-KEM-Arrow-Red-Blue-Bridge-Size-Regular-Index-Playing-Cards-2-Decks-100-Plastic.aspx?feed=Froogle	KEM Arrow Red Blue  Bridge Size Regular Index Playing Cards 2 Decks	Kem Plastic Playing Cards is a 60-year-old company specializing in one productplaying cards which are 100% cellulose acetate plastic. Kem plastic playing cards contain no vinyl which is the raw material used by all other playing card manufacturers for their plastic playing cards. A set-up consists of one red deck and one blue deck. The cards come in a hard black plastic Kem box. One joker is present with each deck. The dimensions of the cards are 2-1/4 inches wide x 3-1/2 inches tall.(Bridge Size) KEM cards can handle the wear and tear like no other brand of card in the industry. Kems high performance cards will last longer shuffle better and deal in such a manner that you will never want to play with anything else again.	http://www.merz67.com/resize/images/brigr.jpg?lr=t&bw=250		Bicycle Playing Cards > KEM Cards	20.6700	55	new	2014-09-12	0.7500 lb	Bicycle US Playing Card	73854200032	73854200032	in stock	Toys & Games > Games > Card Games > Traditional Playing Cards 										
