ProductPricingID,ItemID,ItemNumber,PriceStore,PriceCustomerLevel,PriceVariant,PriceVariantInventory,PriceStartDate,PriceEndDate,PriceQuantity,Cost,Price,PriceVariantSurcharge,PriceCalculation,DeletePricing
9141,233,PT-2183,,,,,,,100,0,0.225,,,
9142,233,PT-2183,,,,,,,300,0,0.22,,,
9143,233,PT-2183,,,,,,,500,0,0.215,,,
9144,233,PT-2183,,,,,,,1000,0,0.21,,,
9145,233,PT-2183,,,,,,,2500,0,0.205,,,
9146,233,PT-2183,,,,,,,5000,0,0.2,,,
9147,233,PT-2183,,,,,,,10000,0,0.195,,,
9148,234,PT-845,,,,,,,100,0,0.24,,,
9149,234,PT-845,,,,,,,300,0,0.235,,,
9150,234,PT-845,,,,,,,500,0,0.23,,,
9151,234,PT-845,,,,,,,1000,0,0.225,,,
9152,234,PT-845,,,,,,,2500,0,0.22,,,
9153,234,PT-845,,,,,,,5000,0,0.215,,,
9154,234,PT-845,,,,,,,10000,0,0.21,,,
9155,235,PT-840,,,,,,,100,0,0.245,,,
9156,235,PT-840,,,,,,,300,0,0.24,,,
9157,235,PT-840,,,,,,,500,0,0.235,,,
9158,235,PT-840,,,,,,,1000,0,0.23,,,
9159,235,PT-840,,,,,,,2500,0,0.225,,,
9160,235,PT-840,,,,,,,5000,0,0.22,,,
9161,235,PT-840,,,,,,,10000,0,0.215,,,
9162,236,PT-2120,,,,,,,100,0,0.255,,,
9163,236,PT-2120,,,,,,,300,0,0.25,,,
9164,236,PT-2120,,,,,,,500,0,0.245,,,
9165,236,PT-2120,,,,,,,1000,0,0.24,,,
9166,236,PT-2120,,,,,,,2500,0,0.235,,,
9167,236,PT-2120,,,,,,,5000,0,0.23,,,
9168,236,PT-2120,,,,,,,10000,0,0.225,,,
9169,237,PT-510,,,,,,,100,0,0.275,,,
9170,237,PT-510,,,,,,,300,0,0.27,,,
9171,237,PT-510,,,,,,,500,0,0.265,,,
9172,237,PT-510,,,,,,,1000,0,0.26,,,
9173,237,PT-510,,,,,,,2500,0,0.255,,,
9174,237,PT-510,,,,,,,5000,0,0.25,,,
9175,237,PT-510,,,,,,,10000,0,0.245,,,
9176,238,PT-2244,,,,,,,100,0,0.28,,,
9177,238,PT-2244,,,,,,,300,0,0.275,,,
9178,238,PT-2244,,,,,,,500,0,0.27,,,
9179,238,PT-2244,,,,,,,1000,0,0.265,,,
9180,238,PT-2244,,,,,,,2500,0,0.26,,,
9181,238,PT-2244,,,,,,,5000,0,0.255,,,
9182,238,PT-2244,,,,,,,10000,0,0.25,,,
9183,239,PT-600,,,,,,,100,0,0.285,,,
9184,239,PT-600,,,,,,,300,0,0.28,,,
9185,239,PT-600,,,,,,,500,0,0.275,,,
9186,239,PT-600,,,,,,,1000,0,0.27,,,
9187,239,PT-600,,,,,,,2500,0,0.265,,,
9188,239,PT-600,,,,,,,5000,0,0.26,,,
9189,239,PT-600,,,,,,,10000,0,0.255,,,
9190,240,PT-800,,,,,,,100,0,0.33,,,
9191,240,PT-800,,,,,,,300,0,0.325,,,
9192,240,PT-800,,,,,,,500,0,0.32,,,
9193,240,PT-800,,,,,,,1000,0,0.315,,,
9194,240,PT-800,,,,,,,2500,0,0.31,,,
9195,240,PT-800,,,,,,,5000,0,0.305,,,
9196,240,PT-800,,,,,,,10000,0,0.3,,,
9197,241,PT-650,,,,,,,100,0,0.3,,,
9198,241,PT-650,,,,,,,300,0,0.295,,,
9199,241,PT-650,,,,,,,500,0,0.29,,,
9200,241,PT-650,,,,,,,1000,0,0.285,,,
9201,241,PT-650,,,,,,,2500,0,0.28,,,
9202,241,PT-650,,,,,,,5000,0,0.275,,,
9203,241,PT-650,,,,,,,10000,0,0.27,,,
9204,242,PT-832,,,,,,,100,0,0.305,,,
9205,242,PT-832,,,,,,,300,0,0.3,,,
9206,242,PT-832,,,,,,,500,0,0.295,,,
9207,242,PT-832,,,,,,,1000,0,0.29,,,
9208,242,PT-832,,,,,,,2500,0,0.285,,,
9209,242,PT-832,,,,,,,5000,0,0.28,,,
9210,242,PT-832,,,,,,,10000,0,0.275,,,
9211,243,PT-900,,,,,,,100,0,0.38,,,
9212,243,PT-900,,,,,,,300,0,0.375,,,
9213,243,PT-900,,,,,,,500,0,0.37,,,
9214,243,PT-900,,,,,,,1000,0,0.365,,,
9215,243,PT-900,,,,,,,2500,0,0.36,,,
9216,243,PT-900,,,,,,,5000,0,0.355,,,
