link	title	description	image_link	additional_image_link	product_type	price	id	condition	expiration_date	shipping_weight	brand	mpn	gtin	availability	google_product_category	gender	age_group	color	size	material	pattern	item_group_id	adwords_grouping	adwords_labels	excluded_destination
http://www.havacupathome.com/store/p/2-Donut-Shop-Blend.aspx?feed=Froogle	Donut Shop Blend	Better than you remember 100% Arabica beans. A medium roast of the finest Arabica coffees from plantations around the   world. A hearty aroma drapes over a full bodied, sweet coffee.   36 Qty 1.75 oz Packs      	http://www.havacupathome.com/resize/images/logo_donut-shop.gif?lr=t&bw=500&bh=500		Premium Coffee	39.6000	2	new	2014-09-12	3.5000 lb	Donut Shop			in stock											
http://www.havacupathome.com/store/p/3-Guatemalan-Fair-Trade-Organic.aspx?feed=Froogle	Guatemalan Fair Trade Organic 	Smooth and consistent with a smokey aroma,fair trade organic. 5lbs High-altitude-grown in a volcanic valley, Guatemalan coffee is smooth and consistent with a smokey aroma. 5 lbs	http://www.havacupathome.com/resize/images/fp  square.jpg?lr=t&bw=500&bh=500		Fair Trade Organic	50.0000	3	new	2014-09-12	5.0000 lb	Hav-A-Cup Coffee			in stock											
http://www.havacupathome.com/store/p/4-Keurig-B-30-Mini-Brewer.aspx?feed=Froogle	Keurig B-30 Mini Brewer	The Mini B30 is a compact size brewer that requires you to add water with each use. 	http://www.havacupathome.com/resize/images/B30_BLK_B.jpg?lr=t&bw=500&bh=500		Keurig Brewers	79.9900	4	new	2014-09-12	7.0000 lb	Keurig			in stock											
http://www.havacupathome.com/store/p/5-French-Vanilla-Decaf.aspx?feed=Froogle	French Vanilla Decaf 	Just try to resist the enticing aromas of our new French Vanilla coffee! 24 Qty Lusciously rich and smooth with the flavors of sweet vanilla cream.	http://www.havacupathome.com/resize/images/K-cups/French-Vanilla-Decaf-.jpg?lr=t&bw=500&bh=500		Premium Coffee	15.5000	5	new	2014-09-12	0.9500 lb	Green Mountain Coffee 			in stock											
http://www.havacupathome.com/store/p/6-Hazelnut-Decaf.aspx?feed=Froogle	Hazelnut Decaf	Nutty aroma and creamy body. 24 Qty Our lighter roasted coffee made truly special with sweet, buttery, rich taste of golden hazelnuts	http://www.havacupathome.com/resize/images/K-cups/Hazelnut-Decaf-.jpg?lr=t&bw=500&bh=500		Premium Coffee	15.5000	6	new	2014-09-12	0.9500 lb	Green Mountain Coffee 			in stock											
http://www.havacupathome.com/store/p/7-Breakfast-Blend-Decaf.aspx?feed=Froogle	Breakfast Blend Decaf 	One of our most popular blends 24 Qty Rich taste and medium acidity. We think you'll find this blend to be balanced and smooth.	http://www.havacupathome.com/resize/images/K-cups/Breakfast-Blend-Decaf-.jpg?lr=t&bw=500&bh=500		Premium Coffee	15.5000	7	new	2014-09-12	0.9500 lb	Green Mountain Coffee 			in stock											
http://www.havacupathome.com/store/p/9-Newman-s-Special-Blend-Decaf.aspx?feed=Froogle	Newman's Special Blend Decaf 	Medium Roast Decaf 24 Qty The same hearty, full-bodied blend of medium and dark roasts; the only thing missing is the caffeine. Still bold. Still refined. And very, very smooth.	http://www.havacupathome.com/resize/images/K-cups/Decaf Newmans Own.jpg?lr=t&bw=500&bh=500		Fair Trade Organic	15.5000	9	new	2014-09-12	0.9500 lb	Newman's Own Organics			in stock											
http://www.havacupathome.com/store/p/10-Vermont-Country-Blend-Decaf.aspx?feed=Froogle	Vermont Country Blend Decaf 	Blend of light and dark beans Decaf 24 Qty This blend of light and dark beans achieves a taste that has made this one of our most popular. The result is coffee that is sweet, rich and aromatic, with a pleasant lingering finish.	http://www.havacupathome.com/resize/images/K-cups/-Vermont-Country-Blend-Decaf-.jpg?lr=t&bw=500&bh=500		Premium Coffee	15.5000	10	new	2014-09-12	0.9500 lb	Green Mountain Coffee 			in stock											
http://www.havacupathome.com/store/p/12-Caramel-Vanilla-Cream.aspx?feed=Froogle	Caramel Vanilla Cream 	Great coffee with caramel & vanilla cream flavor.  24 Qty Drizzles of sweet, buttery caramel and brown sugar, with swirls of vanilla cream.	http://www.havacupathome.com/resize/images/K-cups/Caramel-Vanilla-Cream-Sm.jpg?lr=t&bw=500&bh=500		Premium Coffee	15.5000	12	new	2014-09-12	0.9500 lb	Green Mountain Coffee 			in stock											
http://www.havacupathome.com/store/p/13-French-Vanilla.aspx?feed=Froogle	French Vanilla 	Coffee with vanilla flavor 24 Qty Lusciously rich and smooth with the flavors of sweet vanilla cream.	http://www.havacupathome.com/resize/images/K-cups/French-Vanilla-Sm.jpg?lr=t&bw=500&bh=500		Premium Coffee	15.5000	13	new	2014-09-12	0.9500 lb	Green Mountain Coffee 			in stock											
http://www.havacupathome.com/store/p/14-Hazelnut.aspx?feed=Froogle	Hazelnut 	Coffee with a nutty flavor 24 Qty Buttery and sweet with the rich flavor of warm roasted nuts.	http://www.havacupathome.com/resize/images/K-cups/Hazelnut-Sm.jpg?lr=t&bw=500&bh=500		Premium Coffee	15.5000	14	new	2014-09-12	0.9500 lb	Green Mountain Coffee 			in stock											
http://www.havacupathome.com/store/p/16-Mocha-Nut-Fudge.aspx?feed=Froogle	Mocha Nut Fudge 	Coffee flavored with chocolate with a hint of nut and fudge 24 Qty A decadent pairing of chocolate and coffee layered with roasted nuts and a ribbon of sweet caramel	http://www.havacupathome.com/resize/images/K-cups/Mocha-Nut-Fudge-Sm.jpg?lr=t&bw=500&bh=500		Premium Coffee	15.5000	16	new	2014-09-12	0.9500 lb	Green Mountain Coffee 			in stock											
http://www.havacupathome.com/store/p/18-Southern-Pecan.aspx?feed=Froogle	Southern Pecan 	Coffee with flavor of pecans 24 Qty The buttery flavor of luscious, nutty pecans.	http://www.havacupathome.com/resize/images/K-cups/Southern-Pecan-Sm.jpg?lr=t&bw=500&bh=500		Premium Coffee	15.5000	18	new	2014-09-12	0.9500 lb	Green Mountain Coffee 			in stock											
http://www.havacupathome.com/store/p/19-Breakfast-Blend.aspx?feed=Froogle	Breakfast Blend 	Bright, Light Roast 24 Qty Bright, sweet, and engaging. Our favorite way to start the day!	http://www.havacupathome.com/resize/images/K-cups/Breakfast-Blend-Sm.jpg?lr=t&bw=500&bh=500		Premium Coffee	15.5000	19	new	2014-09-12	0.9500 lb	Green Mountain Coffee 			in stock											
http://www.havacupathome.com/store/p/20-Colombian-Fair-Trade-Select.aspx?feed=Froogle	Colombian Fair Trade Select	Fair Trade, Vibrant, Light Roast 24 Qty Grown high in the Andes  a lush, vibrant cup with balanced complexity Fair Trade.	http://www.havacupathome.com/resize/images/K-cups/Fair-Trade-Colombian-Sm.jpg?lr=t&bw=500&bh=500		Premium Coffee	15.5000	20	new	2014-09-12	0.9500 lb	Green Mountain Coffee 			in stock											
http://www.havacupathome.com/store/p/21-Our-Blend.aspx?feed=Froogle	Our Blend 	Smooth, Light Roast 24 Qty The first and original. Smooth, aromatic, and mild. A delightful cup of coffee.	http://www.havacupathome.com/resize/images/K-cups/Our-Blend-Sm.jpg?lr=t&bw=500&bh=500		Premium Coffee	15.5000	21	new	2014-09-12	0.9500 lb	Green Mountain Coffee 			in stock											
http://www.havacupathome.com/store/p/23-Kenya-AA-EXTRA-BOLD.aspx?feed=Froogle	Kenya AA EXTRA BOLD 	Medium Roast, Great Aroma 24 Qty Fruity blackberry aroma with a sparkling finish.	http://www.havacupathome.com/resize/images/K-cups/-Kenyan-AA-Extra-Bold-Sm.jpg?lr=t&bw=500&bh=500		Premium Coffee	15.5000	23	new	2014-09-12	0.9500 lb	Green Mountain Coffee 			in stock											
http://www.havacupathome.com/store/p/24-Nantucket-Blend.aspx?feed=Froogle	Nantucket Blend 	Medium Roast, Hearty & Complex 24 Qty Full, hearty, and distinctively complex.	http://www.havacupathome.com/resize/images/K-cups/Nantucket-Blend-Sm.jpg?lr=t&bw=500&bh=500		K-Cups  > Caffeinated Coffee > Medium Roast	15.5000	24	new	2014-09-12	0.9500 lb	Green Mountain Coffee 			in stock											
http://www.havacupathome.com/store/p/26-Newman-s-Special-Blend-EXTRA-BOLD.aspx?feed=Froogle	Newman's Special Blend EXTRA BOLD 	Fair Trade Organic, Medium Roast, 24 Qty This full-bodied blend of medium and dark roasted coffees is crafted in the Newman family tradition.	http://www.havacupathome.com/resize/images/K-cups/newman-.jpg?lr=t&bw=500&bh=500		Fair Trade Organic	15.5000	26	new	2014-09-12	0.9500 lb	Newman's Own Organics			in stock											
http://www.havacupathome.com/store/p/27-Vermont-Country-Blend.aspx?feed=Froogle	Vermont Country Blend	Medium Roast, Crafted to comfort and inspire 24 Qty This blend of light and dark beans achieves a taste that has made this one of our most popular. The result is coffee that is sweet, rich and aromatic, with a pleasant lingering finish.	http://www.havacupathome.com/resize/images/K-cups/Vermont-Country-Blend-Sm.jpg?lr=t&bw=500&bh=500		Premium Coffee	15.5000	27	new	2014-09-12	0.9500 lb	Green Mountain Coffee 			in stock											
http://www.havacupathome.com/store/p/29-Dark-Magic-EXTRA-BOLD.aspx?feed=Froogle	Dark Magic EXTRA BOLD	Dark Roast, Dark & Intense 24 Qty Dark Magic Extra Bold exudes spellbinding complexity, crafted for sweet and intense espresso. Excellent as a drip coffee too!	http://www.havacupathome.com/resize/images/K-cups/Dark-Magic-Extra-Bold-.jpg?lr=t&bw=500&bh=500		Premium Coffee	15.5000	29	new	2014-09-12	0.9500 lb	Green Mountain Coffee 			in stock											
http://www.havacupathome.com/store/p/31-French-Roast.aspx?feed=Froogle	French Roast	Dark Roast, Smoky & Sweet 24 Qty This is one of our most intense and pronounced roasts in terms of dark, deep roasted flavor and smokiness. Lots of strong character.	http://www.havacupathome.com/resize/images/K-cups/French-Roast-Sm.jpg?lr=t&bw=500&bh=500		Premium Coffee	15.5000	31	new	2014-09-12	0.9500 lb	Green Mountain Coffee 			in stock											
http://www.havacupathome.com/store/p/32-Lake-Lodge.aspx?feed=Froogle	Lake & Lodge	Dark Roast, A West Coast Favorite 24 Qty This smooth, West Coast style, darkroast blend of premium beans has a smoky sweetness that is enhanced by an extraordinarily rich aroma.	http://www.havacupathome.com/resize/images/K-cups/Lake-Lodge-Sm.jpg?lr=t&bw=500&bh=500		Premium Coffee	15.5000	32	new	2014-09-12	0.9500 lb	Green Mountain Coffee 			in stock											
http://www.havacupathome.com/store/p/34-Organic-Sumatran-Reserve-EXTRA-BOLD.aspx?feed=Froogle	Organic Sumatran Reserve EXTRA BOLD	Dark Roast, Exotically Lush 24 Qty Exotically lush, sweet, and heavy-bodied. 100% Organic Arabica Coffee, Fair Trade Certified by TransFair USA, Certified organic by QAI.	http://www.havacupathome.com/resize/images/K-cups/Fair-Trade-Organic-Sumatran-Res-Extra-Bold-.jpg?lr=t&bw=500&bh=500		Fair Trade Organic	15.5000	34	new	2014-09-12	0.9500 lb	Green Mountain Coffee 			in stock											
http://www.havacupathome.com/store/p/37-Chai-Tea.aspx?feed=Froogle	Chai Tea	India Spice Chai Black Tea 24 Qty A blend of premium teas combined with natural spices and exotic flavors.	http://www.havacupathome.com/resize/images/K-cups/India Spice.jpg?lr=t&bw=500&bh=500		K-Cups  > Hot Tea & Chocolate 	14.9900	37	new	2014-09-12	0.9500 lb	Celestial Seasonings			in stock											
http://www.havacupathome.com/store/p/38-Decaf-Green-Tea.aspx?feed=Froogle	Decaf Green Tea	Green Tea without the caffine 24 Qty Embrace the benefits of green tea without committing to the caffeine. Our full-bodied brew has everything you seek from a fine quality Green Tea, and you can enjoy its smooth flavor anytime.	http://www.havacupathome.com/resize/images/K-cups/Green Tea Decaf.jpg?lr=t&bw=500&bh=500		K-Cups  > Hot Tea & Chocolate 	14.9900	38	new	2014-09-12	0.9500 lb	Celestial Seasonings			in stock											
http://www.havacupathome.com/store/p/39-Earl-Grey.aspx?feed=Froogle	Earl Grey	Earl Grey Black Tea 24 Qty The legendary blend with hint of Indian bergamot extract.	http://www.havacupathome.com/resize/images/K-cups/Earl-Grey-Sm.jpg?lr=t&bw=500&bh=500		K-Cups  > Hot Tea & Chocolate 	14.9900	39	new	2014-09-12	0.9500 lb	Celestial Seasonings			in stock											
http://www.havacupathome.com/store/p/40-English-Breakfast.aspx?feed=Froogle	English Breakfast	Devonshire English Breakfast Black Tea 24 Qty A full-bodied black tea from Java and Kenya.	http://www.havacupathome.com/resize/images/K-cups/English-Breakfast-Sm.jpg?lr=t&bw=500&bh=500		K-Cups  > Hot Tea & Chocolate 	14.9900	40	new	2014-09-12	0.9500 lb	Celestial Seasonings			in stock											
http://www.havacupathome.com/store/p/41-Green-Tea.aspx?feed=Froogle	Green Tea	Green Tea 24 Qty Traditional green tea with fresh flavor and a smooth finish.	http://www.havacupathome.com/resize/images/K-cups/Green-Tea-Sm.jpg?lr=t&bw=500&bh=500		K-Cups  > Hot Tea & Chocolate 	15.5000	41	new	2014-09-12	0.9500 lb	Celestial Seasonings			in stock											
http://www.havacupathome.com/store/p/42-Lemon-Zinger-Tea.aspx?feed=Froogle	Lemon Zinger Tea	Lemon herbal tea 24 Qty This tea has the tart and tangy taste of lemons, hibiscus and rosehips. Naturally caffeine free.	http://www.havacupathome.com/resize/images/K-cups/Lemon-Zinger-Sm.jpg?lr=t&bw=500&bh=500		K-Cups  > Hot Tea & Chocolate 	15.5000	42	new	2014-09-12	0.9500 lb	Celestial Seasonings			in stock											
http://www.havacupathome.com/store/p/43-Orange-Spice.aspx?feed=Froogle	Orange Spice	Mandarin Orange Spice Herbal Tea 24 Qty A medley of oranges mingled with piquant leaves. Naturally caffeine free.	http://www.havacupathome.com/resize/images/K-cups/Mandarin-Orange-Spice-Sm.jpg?lr=t&bw=500&bh=500		K-Cups  > Hot Tea & Chocolate 	15.5000	43	new	2014-09-12	0.9500 lb	Celestial Seasonings			in stock											
http://www.havacupathome.com/store/p/44-Keurig-B-40-Elite-Brewer.aspx?feed=Froogle	Keurig B-40 Elite  Brewer	The Elite B-40 brewer offers the greatest convenience at the lowest cost. 	http://www.havacupathome.com/resize/images/B40_Head_on_wMug_300x400.jpg?lr=t&bw=500&bh=500		Keurig Brewers	119.9900	44	new	2014-09-12	15.1000 lb	Keurig			in stock											
http://www.havacupathome.com/store/p/45-Bigelow-Tea.aspx?feed=Froogle	Bigelow Tea	Bigelow Tea Bags  Bigelow teas are available in a wide variety of flavors in regular,decaf and herbal selections. Herbal teas are naturally caffeine free. 28 Qty in self dispensing boxes.	http://www.havacupathome.com/resize/images/Bigelow.gif?lr=t&bw=500&bh=500		Tea Bags	5.7500	45	new	2014-09-12	0.1250 lb	Bigelow			in stock											
http://www.havacupathome.com/store/p/46-Two-Leaves-and-a-Bud-Teas.aspx?feed=Froogle	Two Leaves and a Bud Teas	Premium Teas Two Leaves and a Bud Teas are premium quality teas in sachets to give a great cup of tea! Herbal teas are naturally decaffinated. 15 Qty box	http://www.havacupathome.com/resize/images/two leaves small.jpg?lr=t&bw=500&bh=500		Tea Bags	7.6500	46	new	2014-09-12	0.1250 lb	Two Leaves & a Bud			in stock											
http://www.havacupathome.com/store/p/47-100-Columbian-Coffee-Whole-Bean.aspx?feed=Froogle	100% Columbian Coffee Whole Bean	100% Coloumbian Coffee Whole Bean 2.5 lbs  Top grade, uniform handpicked beans. Deep mellow body with a smooth rich taste.	http://www.havacupathome.com/resize/images/coloumbian small.jpg?lr=t&bw=500&bh=500		Premium Coffee	20.5000	47	new	2014-09-12	2.5000 lb	Hav-A-Cup Coffee			in stock											
