ItemID,ItemNumber,ItemName,Variation1Group,Variation1Description,Variation1Surcharge,Variation1SurchargeType,Variation1ItemNumberExtension,Variation2Group,Variation2Description,Variation2Surcharge,Variation2SurchargeType,Variation2ItemNumberExtension,Variation3Group,Variation3Description,Variation3Surcharge,Variation3SurchargeType,Variation3ItemNumberExtension
149,NF VER II,Nicky's® VER II,,,,,,,,,,,,,,,
152,NF VER II-PR,Nicky's® VER II-Printed,,,,,,,,,,,,,,,
153,NF COMM ENG,Nicky's® Com English,,,,,,,,,,,,,,,
154,NF Com Eng-with Your Imprint,Nicky's® Comm Engish with YOUR Imprint,,,,,,,,,,,,,,,
155,NF COMM SPAN,Nicky's® Com Spanish,,,,,,,,,,,,,,,
156,NF COMM SPAN-PR,Nicky's® Com Spanish with YOUR Imprint,,,,,,,,,,,,,,,
157,NF CPA FOLDER,Nicky's CPA folder Ver 10,,,,,,,,,,,,,,,
158,NF CPA FOLDER-PRINT,Nicky's CPA Folder 10 PRINTED,,,,,,,,,,,,,,,
161,#5001,Nicky's® Class Work Folder,,,,,,,,,,,,,,,
162,#5002,Nicky's® Homework Folder,,,,,,,,,,,,,,,
163,#8004,4 Pocket Nicky's® Folder,,,,,,,,,,,,,,,
164,#8006,6 Pocket Nicky's® Folder,,,,,,,,,,,,,,,
165,#8008,8 Pocket Nicky's® Folder,,,,,,,,,,,,,,,
171,10in1 CMB1,Color COMBO 1,,,,,,,,,,,,,,,
172,10in1 CMB2,Color COMBO 2,,,,,,,,,,,,,,,
173,10in1 CMB3,Color COMBO 3,,,,,,,,,,,,,,,
174,10in1 CMB4,Color COMBO 4,,,,,,,,,,,,,,,
175,"""It Is™"" CMB1","""It Is™"" Combo 1",,,,,,,,,,,,,,,
176,It Is™ CMB2,"""It Is™"" Combo 2",,,,,,,,,,,,,,,
177,"""It Is™"" CMB3","""It Is™""COMBO 3 ",,,,,,,,,,,,,,,
178,"""It Is™""CMB4","""It Is™""COMBO 4 ",,,,,,,,,,,,,,,
179,NF CPA FOLDER #11,Nicky's CPA folder Ver 11,,,,,,,,,,,,,,,
180,STB-222,STB-222,,,,,,,,,,,,,,,
181,STB-582,STB-582,,,,,,,,,,,,,,,
182,FOLD-OUT-2597,FOLD-OUT-2597,,,,,,,,,,,,,,,
189,Model-1000 Clear Vinyl Folder,MODEL-1000,,,,,,,,,,,,,,,
190,Auto Insurance Form Holder #INS-30,INSUR_HOLDER,,,,,,,,,,,,,,,
191,SEAL-IT Holders (1265-Pro),MISC_SEAL-IT,,,,,,,,,,,,,,,
192,PC-30 Economy,PC-30 Economy,,,,,,,,,,,,,,,
193,SL-3-264 Slide Holder,SL-3-264,,,,,,,,,,,,,,,
194,SL-3-108 Slide Holder,SL-3-108,,,,,,,,,,,,,,,
195,SL-3-182 Slide Holder,SL-3-182,,,,,,,,,,,,,,,
196,SL-3-6 Film Strip Holder,SL-3-6,,,,,,,,,,,,,,,
197,SL-3-12 35MM Slide Holder,SL-3-12 35MM,,,,,,,,,,,,,,,
198,SL-3-111 35MM Slide Holder,SL-3-111 35MM,,,,,,,,,,,,,,,
199,X-RAY 17- 4 Holder,X-RAY 17- 4,,,,,,,,,,,,,,,
200,6 pocket 40M Flim Strip Holder,40M,,,,,,,,,,,,,,,
201,20 Pocket 35M Slide holder,35M,,,,,,,,,,,,,,,
202,12 Pocket 18M Metal Slide Holder,18M,,,,,,,,,,,,,,,
203,28 Pocket 17M Slide Holder,17M,,,,,,,,,,,,,,,
206,STB-2876 PC Media Holders,STB_2876,,,,,,,,,,,,,,,
207,#1248-CD Media Holders,CD_1248,,,,,,,,,,,,,,,
208,#2266-CD Media Holders,CD_2266,,,,,,,,,,,,,,,
209,STB-3144 PC Media Holders,STB_3144,,,,,,,,,,,,,,,
210,STB-3098-CD Media Holders,STB_3098_CD,,,,,,,,,,,,,,,
211,STB-2012-CD Media Holders,STB_2012_CD,,,,,,,,,,,,,,,
212,#1944-CD Media Holders,CD_1944,,,,,,,,,,,,,,,
215,STB-2011 PC Media Holders,STB_2011,,,,,,,,,,,,,,,
217,SP-808,SP-808,,,,,,,,,,,,,,,
218,SP-809,SP-809,,,,,,,,,,,,,,,
219,SP-811,SP-811,,,,,,,,,,,,,,,
220,SP-812,SP-812,,,,,,,,,,,,,,,
221,SP-814,SP-814,,,,,,,,,,,,,,,
233,PT-2183,PT-2183,,,,,,,,,,,,,,,
234,PT-845,PT-845,,,,,,,,,,,,,,,
235,PT-840,PT-840,,,,,,,,,,,,,,,
236,PT-2120,PT-2120,,,,,,,,,,,,,,,
237,PT-510,PT-510,,,,,,,,,,,,,,,
238,PT-2244,PT-2244,,,,,,,,,,,,,,,
239,PT-600,PT-600,,,,,,,,,,,,,,,
240,PT-800,PT-800,,,,,,,,,,,,,,,
241,PT-650,PT-650,,,,,,,,,,,,,,,
242,PT-832,PT-832,,,,,,,,,,,,,,,
243,PT-900,PT-900,,,,,,,,,,,,,,,
244,PT-1262,PT-1262,,,,,,,,,,,,,,,
245,PT-1885,PT-1885,,,,,,,,,,,,,,,
246,PT-1221,PT-1221,,,,,,,,,,,,,,,
